product_group_id,group_name,group_description,group_category,group_parent_id,group_creation_date,group_updated_date,group_status,group_manager,group_location,Column1,_1
1,Electronics,All electronic devices and accessories,Electronics,,2022-01-01,2022-01-01,Active,John Doe,Headquarters,,
3,TVs,Televisions and home entertainment,Electronics,1,2022-01-01,2022-01-01,Active,Mark Johnson,Headquarters,,
5,Tablets,Tablet devices and accessories,Electronics,1,2022-01-01,2022-01-01,Active,Michael Brown,Headquarters,,
8,Storage,External hard drives and storage solutions,Electronics,1,2022-01-01,2022-01-01,Active,Michelle Lee,Headquarters,,
9,Smart Home,Smart home devices and automation systems,Electronics,1,2022-01-01,2022-01-01,Active,Ryan Thompson,Headquarters,,
11,Networking,Networking equipment and accessories,Electronics,1,2022-01-01,2022-01-01,Active,Megan Davis,Headquarters,,
12,Monitors,Computer monitors and displays,Electronics,1,2022-01-01,2022-01-01,Active,Andrew Wilson,Headquarters,,
15,Car Audio,Car audio systems and accessories,Electronics,4,2022-01-01,2022-01-01,Active,Karen Davis,Headquarters,,
16,Projectors,Projectors and projection accessories,Electronics,1,2022-01-01,2022-01-01,Active,Robert Johnson,Headquarters,,
17,Charging Solutions,Wireless chargers and charging accessories,Electronics,1,2022-01-01,2022-01-01,Active,Olivia Wilson,Headquarters,,
19,Smart Security,Home security systems and surveillance devices,Electronics,9,2022-01-01,2022-01-01,Active,Emma Davis,Headquarters,,
20,Computer Peripherals,Computer peripherals and accessories,Electronics,2,2022-01-01,2022-01-01,Active,Liam Johnson,Headquarters,,
21,Home Appliances,Household appliances and accessories,Electronics,,2022-01-01,2022-01-01,Active,John Doe,Headquarters,,
22,Kitchen Appliances,Kitchen appliances and cooking accessories,Home Appliances,21,2022-01-01,2022-01-01,Active,Jane Smith,Headquarters,,
23,Refrigerators,Refrigerators and freezers,Home Appliances,22,2022-01-01,2022-01-01,Active,Mark Johnson,Headquarters,,
24,Washing Machines,Washing machines and laundry accessories,Home Appliances,22,2022-01-01,2022-01-01,Active,Sarah Davis,Headquarters,,
25,Dishwashers,Dishwashers and dishwasher accessories,Home Appliances,22,2022-01-01,2022-01-01,Active,Michael Brown,Headquarters,,
